Briefdatum,Briefschreiber,Briefempfänger
1617-12-24,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1617-12-25,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1618-01-01,Herzog Johann Ernst d. J. von Sachsen-Weimar,Fürst Ludwig
1618-01-02,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1618-05-08,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1618-07-14,Fürst August von Anhalt-Plötzkau,Fürst Johann Casimir von Anhalt-Dessau
1618-10-23,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1618-12-07,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1618-12-22,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1618-12-25,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-02-20,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-03-08,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-03-18,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-03-22,Heinrich von Börstel,Fürst Ludwig
1619-03-24,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-04-24,Balthasar Walther,Wolfgang Ratke
1619-07-07,Fürst Ludwig,Herzog Johann Ernst d. J. von Sachsen-Weimar
1619-11-24,Heinrich von Börstel,Fürst Ludwig
1619-11-29,Heinrich von Börstel,Fürst Ludwig
1619-12-29,Simon Frisius,Friedrich von Schilling
1619-12-31,Friedrich von Schilling,Ludwig Lucius
1620-01-25,die Fruchtbringende Gesellschaft,Jost Andreas von Randow
1620-03-18,Fürst Christian II. von Anhalt-Bernburg,Fürstin Anna von Anhalt-Bernburg
1620-08-26,Friedrich von Schilling,Ludwig Lucius
1621-04-01,Jost Andreas von Randow,die Fruchtbringende Gesellschaft
1621-04-21,Friedrich von Schilling,Ludwig Lucius
1621-06-26,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1621-07-29,Fürst Ludwig d. J. von Anhalt-Köthen,Fürst Ludwig
1621-10-06,Friedrich von Schilling,Ludwig Lucius
1622-08-24,Peter von Sebottendorf,Fürst Ludwig
1622-09-19,Fürst Christian I. von Anhalt-Bernburg,Fürst Ludwig
1622-12-14,Fürst Ludwig,Herzog Wilhelm IV. von Sachsen-Weimar
1622-12-23,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1623-01-01,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Fürstin Dorothea von Anhalt-Dessau
1623-04-30,Curt Dietrich aus dem Winckel,die Fruchtbringende Gesellschaft
1623-08-02,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1623-08-09,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1623-08-19,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1623-09-13,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1623-10-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1623-10-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1623-11-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1623-12-03,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1623-12-06,Diederich von dem Werder,Landgraf Wilhelm V. von Hessen-Kassel
1623-12-10,Fürst Christian I. von Anhalt-Bernburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1624-01-06,Herzog August d. J. von Braunschweig-Wolfenbüttel,Fürst Christian I. von Anhalt-Bernburg
1624-01-09,die Fruchtbringende Gesellschaft,Landgraf Wilhelm V. von Hessen-Kassel
1624-01-12,Fürstin Amoena Amalia von Anhalt-Köthen,Herzog Wilhelm IV. von Sachsen-Weimar
1624-01-16,Fürst Christian I. von Anhalt-Bernburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1624-01-18,Herzog Friedrich Ulrich von Braunschweig-Wolfenbüttel,Fürst Johann Casimir von Anhalt-Dessau
1624-01-25,Herzog August d. J. von Braunschweig-Wolfenbüttel,Fürst Christian I. von Anhalt-Bernburg
1624-03-01,Académie des Parfaits Amants,Honoré d'Urfé
1624-03-19,Fürst Christian I. von Anhalt-Bernburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1624-04-01,Adolph von Börstel,Honoré d'Urfé
1624-04-18,Friedrich von Schilling,Ludwig Lucius
1624-07-17,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1624-07-18,Bericht einer Prinzessin von Anhalt-Dessau,die Prinzessinnen Juliana und Magdalena von Hessen-Kassel
1624-09-07,Fürst Christian I. von Anhalt-Bernburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1624-09-10,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1625-01-10,Tobias Hübner,Augustus Buchner
1625-02-18,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1625-02-18,Tobias Hübner,Augustus Buchner
1625-02-28,Honoré d'Urfé,Académie des Parfaits Amants
1625-03-05,Tobias Hübner,Fürst Ludwig
1625-04-13,Tobias Hübner,Augustus Buchner
1625-05-10,Martin Opitz,Augustus Buchner
1625-05-14,Landgräfin Juliana von Hessen-Kassel (?),Landgraf Wilhelm V. von Hessen-Kassel
1625-06-09,Tobias Hübner,Augustus Buchner
1625-06-27,Fürst Ludwig,Fürst Christian I. von Anhalt-Bernburg
1625-07-01,Martin Opitz,Fürst Ludwig
1625-07-01,Fürst Ludwig,Fürst Christian I. von Anhalt-Bernburg
1625-07-02,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1625-07-05,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1625-07-06,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1625-11-01,Augustus Buchner,Tobias Hübner
1626-01-01,Gomberville,Académie des Parfaits Amants
1626-01-01,Gomberville,Académie des Parfaits Amants
1626-01-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1626-02-11,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1626-02-17,Martin Opitz,Balthasar Venator
1626-04-19,Graf Friedrich Ludolph von Bentheim-Alpen,Fürst Ludwig
1626-05-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1626-05-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1626-06-17,Augustus Buchner,Martin Opitz
1626-06-19,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1625-05-12,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1626-07-03,Fürstin Anna Sophia von Anhalt-Bernburg,Fürst Ludwig
1626-08-31,Martin Opitz,Diederich von dem Werder
1626-08-31,Martin Opitz,Augustus Buchner
1626-10-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1627-01-05,Fürst Ludwig,Graf Simon VII. zur Lippe-Detmold
1627-01-15,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1627-01-29,Graf Simon VII. zur Lippe-Detmold,Fürst Ludwig
1627-03-06,Graf Simon VII. zur Lippe-Detmold,Fürst Ludwig
1627-04-06,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Herzog Johann Friedrich von Württemberg-Stuttgart
1627-04-29,Christophorus Colerus,Martin Opitz
1627-08-08,Fürstin Loysa Amalia von Anhalt-Bernburg,Fürst Ludwig
1627-08-27,Jacob Martini,Friedrich von Kospoth
1627-09-25,Fürst Christian II. von Anhalt-Bernburg,seinen Bruder Fürst Ernst von Anhalt-Bernburg
1627-10-01,Martin Opitz,Augustus Buchner
1627-10-10,Augustus Buchner,Martin Opitz
1627-11-07,Fürst Ludwig,Graf Otto zur Lippe-Brake
1627-11-26,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1627-12-01,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1627-12-01,Fürstin Sibylla Elisabeth von Anhalt-Bernburg,Fürst Christian II. von Anhalt-Bernburg
1627-12-09,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1627-12-11,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1627-12-15,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1627-12-28,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-01-06,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1628-01-12,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-01-22,Thomas Reinesius,Herr Hans Georg von Wartenberg
1628-01-28,Thomas Reinesius,Herr Hans Georg von Wartenberg
1628-02-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-02-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Christian I. von Anhalt-Bernburg
1628-02-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-02-18,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-02-20,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1628-02-26,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-03-04,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-03-08,Fürst Ludwig,Landgraf Wilhelm V. von Hessen-Kassel
1628-03-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-03-27,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-04-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Christian I. von Anhalt-Bernburg
1628-04-04,Fürst Christian II. von Anhalt-Bernburg,Fürst Christian I. von Anhalt-Bernburg
1628-04-07,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-04-11,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1628-04-12,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-04-14,Fürst Ludwig und Fürstin Sophia von Anhalt-Köthen,Fürst Christian II. und Fürstin Eleonora Sophia von Anhalt-Bernburg
1628-04-25,Fürst Christian II. und Fürstin Eleonora Sophia von Anhalt-Bernburg,Fürst Ludwig und Fürstin Sophia von Anhalt-Köthen
1628-05-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1628-05-17,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-06-16,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1628-06-16,Fürst Christian I. von Anhalt-Bernburg,Fürst Ludwig
1628-06-20,Fürst Ludwig,Herzog Johann Albrecht II. von Mecklenburg-Güstrow
1628-07-16,Augustus Buchner,Martin Opitz
1628-07-21,Fürst Christian II. von Anhalt-Bernburg,Heinrich von Börstel
1628-07-24,Johann Sternberg,Graf Otto zur Lippe-Brake
1628-07-26,Fürst Ludwig,Herzog Johann Albrecht II. von Mecklenburg-Güstrow
1628-08-18,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-08-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-09-28,Fürst Christian II. und Fürstin Eleonora Sophia von Anhalt-Bernburg,Fürst Ludwig
1628-09-29,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-10-01,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1628-10-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-10-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1628-11-05,Graf Wolrad IV. von Waldeck-Eisenberg,Fürst Ludwig
1628-11-26,Fürst Ludwig,Graf Wolrad IV. von Waldeck-Eisenberg
1628-12-15,Herzog Johann Albrecht II. von Mecklenburg-Güstrow,Fürst Ludwig
1628-12-26,Fürst Ludwig,Herzog Wilhelm IV. von Sachsen-Weimar
1629-01-20,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Herzog Wilhelm IV. von Sachsen-Weimar
1629-01-29,Johann Sternberg,Graf Otto zur Lippe-Brake
1629-01-31,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-02-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-02-26,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-02-26,Fürstin Sophia von Anhalt-Köthen,Gräfin Anna von Waldeck-Eisenberg
1629-03-02,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-03-04,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-03-07,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-03-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1629-03-14,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-03-29,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-04-10,Prinzessin Sophia Agnes von Radziwill,Wolfgang Ratke
1629-05-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-05-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-05-28,Johann Sternberg,Graf Otto zur Lippe-Brake
1629-05-29,Wolfgang Ratke,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-05-31,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1629-06-08,Prinzessin Sophia Agnes von Radziwill,Wolfgang Ratke
1629-06-14,Wolfgang Ratke,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-06-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-06-29,Martin Opitz,Augustus Buchner
1629-07-08,Johann Sternberg,Graf Otto zur Lippe-Brake
1629-07-15,Augustus Buchner,Martin Opitz
1629-09-09,Augustus Buchner,Martin Opitz
1629-09-13,Fürstin Sophia von Anhalt-Köthen,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1629-10-05,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-10-09,Wilhelm von Kalcheim gen. Lohausen,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin
1629-10-13,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-10-28,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1629-11-04,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1629-11-04,Landgraf Wilhelm V. von Hessen-Kassel,Diederich von dem Werder
1629-12-01,Fürst Ludwig,Hans Christoph (Rabe) von Pappenheim
1629-12-22,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin,Wilhelm von Kalcheim gen. Lohausen
1629-12-24,Fürst Christian I. von Anhalt-Bernburg,Graf Christian von Waldeck-Wildungen
1629-12-31,Martin Opitz,Augustus Buchner
1630-01-01,Gräfin Anna von Waldeck-Eisenberg,Fürstin Sophia von Anhalt-Köthen
1630-02-03,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-02-09,Fürst August von Anhalt-Plötzkau,Fürst Christian II. von Anhalt-Bernburg
1630-03-20,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Fürstin Dorothea von Anhalt-Dessau
1630-03-30,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-04-03,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-04-06,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-04-10,Johann von Mario,Friedrich von Schilling
1630-04-20,Hans Christoph (Rabe) von Pappenheim im Namen Landgraf Wilhelms V. von Hessen-Kassel,Georg Philipp von Meysenbug
1630-04-20,Hans Christoph (Rabe) von Pappenheim im Namen Landgraf Wilhelms V. von Hessen-Kassel,Heinrich von Oeynhausen
1630-04-26,Herzogin Anna Sabina von Württemberg-Juliusburg,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-05-09,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1630-07-18,Peter von Sebottendorf,Fürst Ludwig
1630-07-23,Prinzessin Elisabeth Eleonora von Radziwill,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1630-07-25,Martin Opitz,Burggraf und Herr Christoph zu Dohna
1630-08-13,Graf Simon Ludwig zur Lippe-Detmold,Fürst Ludwig
1630-09-21,Johann von Mario,Friedrich von Schilling
1630-09-24,Johann von Mario,Friedrich von Schilling
1630-10-01,Johann von Mario,Friedrich von Schilling
1630-10-11,Johann von Mario,Friedrich von Schilling
1630-10-25,Graf Wolrad IV. von Waldeck-Eisenberg,Fürst Ludwig
1630-11-02,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1631-01-01,Tobias Hübner,die Fruchtbringende Gesellschaft
1631-01-08,Fürstin Loysa Amalia von Anhalt-Bernburg,Gräfin Maria Magdalena zur Lippe-Detmold
1631-01-13,Johann von Mario,Friedrich von Schilling
1631-01-19,Melchior Goldast von Haiminsfeld,Martin Opitz
1631-02-24,Johann von Mario,Friedrich von Schilling
1631-03-11,Johann von Mario,Friedrich von Schilling
1631-04-11,Fürst Ludwig,die Fruchtbringende Gesellschaft
1631-07-03,Augustus Buchner,Martin Opitz
1631-12-05,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Johann Le Clerq
1632-04-16,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Wolfgang Ratke
1632-06-26,Fürstin Sibylla Elisabeth von Anhalt-Bernburg,Gräfin Elisabeth von Waldeck-Wildungen
1632-07-15,Frau Sabina von Wartenberg,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1632-07-29,Fürst Ludwig,Gräfin Anna Sophia von Schwarzburg-Rudolstadt
1632-12-01,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Friherre Axel Oxenstierna
1633-03-11,Martin Opitz,Augustus Buchner
1633-06-03,Fürst August von Anhalt-Plötzkau und Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1633-09-18,Augustus Buchner,Martin Opitz
1633-09-20,Herzog Wilhelm IV. von Sachsen-Weimar,Fürst Ludwig
1633-12-23,Martin Opitz,David von Schweinitz
1634-01-07,Fürstin Sibylla Elisabeth von Anhalt-Bernburg,Fürst Ludwig
1634-04-21,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Friherre Axel Oxenstierna
1634-06-04,Herzog Ernst I. von Sachsen-Weimar(-Gotha),Fürst Ludwig
1634-06-09,Fürst Ludwig,Herzog Ernst I. von Sachsen-Weimar(-Gotha)
1634-06-28,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1634-07-16,Prinzessin Loysa Amalia von Anhalt-Bernburg,Fürst Ludwig
1634-08-16,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1635-03-12,Herzog Ernst I. von Sachsen-Weimar(-Gotha),Friedrich Hortleder
1635-07-31,Tobias Hübner,Augustus Buchner
1635-11-12,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1636-04-28,Maria Magdalena (von) Stammer,Fürst Ludwig
1636-06-30,Fürst Christian II. von Anhalt-Bernburg,Burggraf und Herr Christoph zu Dohna
1636-07-03,Johann von Mario,Friedrich von Schilling
1637-01-13,Diederich von dem Werder,Fürst Ludwig
1637-04-21,Landgraf Hermann IV. von Hessen-Rotenburg,Landgraf Wilhelm V. von Hessen-Kassel
1637-04-22,Landgraf Wilhelm V. von Hessen-Kassel,Landgraf Hermann IV. von Hessen-Rotenburg
1637-05-17,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-07-15,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-07-22,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-07-29,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-08-05,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-09-02,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Friedrich von Schilling
1637-10-27,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-10-28,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1637-10-28,Diederich von dem Werder,Fürst Ludwig
1637-10-30,Martin Opitz,Friedrich von Schilling
1637-10-31,Diederich von dem Werder,Fürst Ludwig
1637-11-06,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-11-08,Diederich von dem Werder,Fürst Ludwig
1637-11-10,Diederich von dem Werder,Fürst Ludwig
1637-11-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-11-12,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1637-11-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-11-17,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1637-11-20,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-11-21,Martin Opitz,Diederich von dem Werder
1637-11-23,Hans Philipp Geuder,Fürst Ludwig
1637-11-24,Hans von Dieskau,Fürst Ludwig
1637-11-26,Martin Opitz,Fürst Ludwig
1637-11-27,Martin Opitz,Friedrich von Schilling
1637-12-08,Martin Opitz,Friedrich von Schilling
1637-12-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-09,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-12-11,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-19,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-20,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1637-12-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1637-12-21,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1637-12-22,Diederich von dem Werder,Fürst Ludwig
1637-12-23,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1637-12-24,Hans Philipp Geuder,Fürst Ludwig und Fürst Christian II. von Anhalt-Bernburg
1637-12-26,Graf Otto V. von Holstein-Schaumburg,Fürst Ludwig
1637-12-26,Diederich von dem Werder,Fürst Ludwig
1637-12-27,Diederich von dem Werder,Fürst Ludwig
1637-12-31,Diederich von dem Werder,Fürst Ludwig
1638-01-01,Cuno Ordomar von Bodenhausen,Diederich von dem Werder
1638-01-01,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-01-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-10,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-01-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-22,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-01-25,Fürst Ludwig,Graf Otto V. von Holstein-Schaumburg
1638-01-25,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-01-26,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-01-28,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-02,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-07,Dietlof von Tiesenhausen,Fürst Ludwig
1638-02-10,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1638-02-20,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-02-21,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-02-26,Diederich von dem Werder,Fürst Ludwig
1638-03-02,Fürst Ludwig,Fürst Ernst Gottlieb von Anhalt-Plötzkau
1638-03-02,Fürst Ludwig,Hans von Dieskau
1638-03-03,Hans von Dieskau,Fürst Ludwig
1638-03-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-03-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-03-20,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Saubert d. Ä.
1638-03-20,Christian Ernst (von) Knoch,Fürst Ludwig
1638-03-21,Fürst Ludwig,Diederich von dem Werder
1638-03-21,Diederich von dem Werder,Fürst Ludwig
1638-03-28,Fürst Ludwig,Christian Ernst (von) Knoch
1638-03-31,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1638-04-02,Martin Opitz,Fürst Ludwig
1638-04-05,Diederich von dem Werder,Fürst Ludwig
1638-04-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-04-11,Fürst Ludwig,Martin Opitz
1638-04-17,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Saubert d. Ä.
1638-04-23,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-04-23,Diederich von dem Werder,Fürst Ludwig
1638-04-27,Fürst Ludwig,Fürst Ernst Gottlieb von Anhalt-Plötzkau
