Briefdatum,Briefschreiber,Briefempfänger
1638-05-01,Christian Ernst (von) Knoch,Fürst Ludwig
1638-05-02,Diederich von dem Werder,Fürst Ludwig
1638-05-03,Christian Ernst (von) Knoch,Fürst Ludwig
1638-05-04,Fürst Ludwig,Martin Opitz
1638-05-07,Diederich von dem Werder,Fürst Ludwig
1638-05-09,Fürst Ludwig,Christian Ernst (von) Knoch
1638-05-09,Diederich von dem Werder,Fürst Ludwig
1638-05-22,Fürst Ludwig,Cuno Ordomar von Bodenhausen
1638-05-22,Fürst Ludwig,Diederich von dem Werder
1638-05-22,Diederich von dem Werder,Fürst Ludwig
1638-06-02,Diederich von dem Werder,Fürst Ludwig
1638-06-05,Christian Ernst (von) Knoch,Fürst Ludwig
1638-06-06,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-06-08,Martin Opitz,Georg Rodolf Weckherlin
1638-06-08,Fürst Ludwig,Diederich von dem Werder
1638-06-09,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-06-09,Diederich von dem Werder,Fürst Ludwig
1638-06-16,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1638-06-19,Diederich von dem Werder,Fürst Ludwig
1638-06-25,Martin Opitz,Fürst Ludwig
1638-07-20,Fürst Ludwig,Martin Opitz
1638-07-21,Diederich von dem Werder,Fürst Ludwig
1638-07-24,Diederich von dem Werder,Fürst Ludwig
1638-07-28,Diederich von dem Werder,Fürst Ludwig
1638-08-03,Diederich von dem Werder,Fürst Ludwig
1638-08-10,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-08-28,Fürst Ludwig,Martin Opitz
1638-09-04,Hans von Dieskau,Fürst Ludwig
1638-10-06,Diederich von dem Werder,Fürst Ludwig
1638-10-07,Fürst Ludwig,Herr Hans Georg von Wartenberg
1638-10-28,Wilhelm von Kalcheim gen. Lohausen,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin
1638-10-30,Hans von Dieskau,Fürst Ludwig
1638-11-05,Christian Gueintz,Fürst Ludwig
1638-11-07,Christian Ernst (von) Knoch,Fürst Ludwig
1638-11-14,Diederich von dem Werder,Fürst Ludwig
1638-11-16,Martin Opitz,Fürst Ludwig
1638-11-16,Fürst Ludwig,Diederich von dem Werder
1638-11-23,Diederich von dem Werder,Fürst Ludwig
1638-11-30,Diederich von dem Werder,Fürst Ludwig
1638-12-04,Diederich von dem Werder,Fürst Ludwig
1638-12-18,Fürst Ludwig,Martin Opitz
1638-12-24,Fürst Ludwig,Martin Opitz
1639-01-10,Fürst Ludwig,Hans von Dieskau
1639-01-12,Hans von Dieskau,Fürst Ludwig
1639-01-14,Fürst Ludwig,Hans von Dieskau
1639-01-15,Diederich von dem Werder,Fürst Ludwig
1639-01-19,Hans Ludwig (von) Knoch,Fürst Ludwig
1639-01-21,Fürst Ludwig,Hans Ludwig (von) Knoch
1639-01-21,Martin Opitz,Christian Hoffmann (von Hoffmannswaldau)
1639-01-25,Diederich von dem Werder,Fürst Ludwig
1639-01-26,Martin Opitz,Augustus Buchner
1639-01-26,Diederich von dem Werder,Fürst Ludwig
1639-01-26,Fürst Ludwig,Diederich von dem Werder
1639-01-31,Christian Ernst (von) Knoch,Fürst Ludwig
1639-03-10,Martin Opitz,Fürst Ludwig
1639-04-29,Christian Ernst (von) Knoch,Fürst Ludwig
1639-05-04,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1639-05-04,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1639-05-14,Fürst Ludwig,Martin Opitz
1639-06-30,Fürst Ludwig,Graf Wolrad IV. von Waldeck-Eisenberg
1639-07-01,Fürst Ludwig,Graf Wolrad IV. von Waldeck-Eisenberg
1639-07-12,Graf Wolrad IV. von Waldeck-Eisenberg,Fürst Ludwig
1639-07-12,Diederich von dem Werder,Fürst Ludwig
1639-07-23,Diederich von dem Werder,Fürst Ludwig
1639-07-27,Diederich von dem Werder,Fürst Ludwig
1639-08-01,Martin Opitz,Johann Elichmann
1639-08-07,Martin Opitz,Fürst Ludwig
1639-08-07,Diederich von dem Werder,Fürst Ludwig
1639-08-14,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1639-08-22,Hugo Grotius,Martin Opitz
1639-08-26,Friedrich Hortleder,Fürst Ludwig
1639-08-28,Wilhelm von Kalcheim gen. Lohausen,Herzog August d. J. von Braunschweig-Wolfenbüttel
1639-09-01,Fürst Ludwig,Friedrich Hortleder
1639-09-02,Diederich von dem Werder,Fürst Ludwig
1639-09-03,Fürst Ludwig,Johan Banér
1639-09-04,Diederich von dem Werder,Fürst Ludwig
1639-09-06,Diederich von dem Werder,Fürst Ludwig
1639-09-07,Diederich von dem Werder,Friedrich Hortleder
1639-09-08,Diederich von dem Werder,Fürst Ludwig
1639-09-09,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1639-09-10,Diederich von dem Werder,Friedrich Hortleder
1639-09-11,Augustus Buchner,Fürst Ludwig
1639-09-12,Diederich von dem Werder,Fürst Ludwig
1639-09-14,Diederich von dem Werder,Fürst Ludwig
1639-09-21,Diederich von dem Werder,Fürst Ludwig
1639-09-29,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1639-10-01,Christian Ernst (von) Knoch,Fürst Ludwig
1639-10-05,Fürst Christian II. von Anhalt-Bernburg,Herzog August d. J. von Braunschweig-Wolfenbüttel
1639-10-28,Fürst Ludwig,Augustus Buchner
1639-11-01,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1639-11-13,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1639-11-19,Augustus Buchner,Fürst Ludwig
1639-11-25,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1639-12-01,Fürst Ludwig,Graf Wolrad IV. von Waldeck-Eisenberg
1639-12-03,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1639-12-09,Christian Ernst (von) Knoch,Fürst Ludwig
1639-12-16,Fürst Ludwig,Augustus Buchner
1639-12-17,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1639-12-23,Diederich von dem Werder,Fürst Ludwig
1640-01-04,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1640-01-13,Augustus Buchner,Fürst Ludwig
1640-01-22,Augustus Buchner,Fürst Ludwig
1640-01-27,Graf Wolrad IV. von Waldeck-Eisenberg,Fürst Ludwig
1640-02-03,Christian Ernst (von) Knoch,Franz Julius von dem Knesebeck
1640-02-09,Fürst Ludwig,Graf Wolrad IV. von Waldeck-Eisenberg
1640-02-14,Fürst Ludwig,Augustus Buchner
1640-02-18,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1640-03-01,Christian Gueintz,Fürst Ludwig
1640-03-10,Diederich von dem Werder,Fürst Ludwig
1640-03-11,Diederich von dem Werder,Fürst Ludwig
1640-03-11,Diederich von dem Werder,Fürst Ludwig
1640-03-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1640-03-13,Fürst Ludwig,Christian Gueintz
1640-03-14,Christian Gueintz,Fürst Ludwig
1640-03-17,Diederich von dem Werder,Fürst Ludwig
1640-03-19,Fürst Ludwig,Friedrich Hortleder
1640-03-20,Diederich von dem Werder,Fürst Ludwig
1640-03-23,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1640-04-30,Augustus Buchner,Fürst Ludwig
1640-05-02,Diederich von dem Werder,Fürst Ludwig
1640-05-06,Fürst Ludwig,Diederich von dem Werder
1640-05-09,Diederich von dem Werder,Fürst Ludwig
1640-05-14,Diederich von dem Werder,Fürst Ludwig
1640-05-28,Christian Gueintz,Fürst Ludwig
1640-06-05,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1640-06-19,Fürst Ludwig,Diederich von dem Werder
1640-06-20,Diederich von dem Werder,Fürst Ludwig
1640-06-22,Diederich von dem Werder,Fürst Ludwig
1640-07-14,Fürst Ludwig,Graf Otto V. von Holstein-Schaumburg
1640-07-28,Fürst Christian II. von Anhalt-Bernburg,Adolph von Börstel
1640-07-31,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1640-08-09,Joachim Mechovius,Fürst Christian II. von Anhalt-Bernburg
1640-08-10,Christian Ernst (von) Knoch,Fürst Ludwig
1640-09-17,Gräfin Anna Sophia von Schwarzburg-Rudolstadt,Fürst Christian II. von Anhalt-Bernburg
1640-10-07,Fürst Ludwig,Diederich von dem Werder
1640-10-09,Diederich von dem Werder,Fürst Ludwig
1640-10-25,Diederich von dem Werder,Fürst Ludwig
1640-10-29,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1640-11-09,Fürst Ludwig,Christian Gueintz
1640-11-11,Johann Valentin Andreae,Philipp Hainhofer
1640-11-16,Diederich von dem Werder,Fürst Ludwig
1640-11-17,Diederich von dem Werder,Fürst Ludwig
1640-12-04,Martinus Milagius,Fürst Ludwig
1640-12-12,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1640-12-14,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1640-12-15,Diederich von dem Werder,Fürst Ludwig
1640-12-16,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1640-12-23,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1640-12-28,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig und Fürstin Sophia von Anhalt-Köthen
1640-12-28,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1640-12-29,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1641-01-01,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1641-01-02,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-01-06,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-01-11,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-01-17,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-01-19,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1641-02-03,Fürst Ludwig,Diederich von dem Werder
1641-02-03,Diederich von dem Werder,Fürst Ludwig
1641-02-05,Johann Palmarius,Diederich von dem Werder
1641-02-06,Diederich von dem Werder,Fürst Ludwig
1641-02-08,Fürst Ludwig,Christian Gueintz
1641-03-01,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1641-03-13,Andreas Kühne,Peter Knaudt
1641-03-23,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-04-06,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1641-05-05,Augustus Buchner,Peter Knaudt
1641-05-10,Diederich von dem Werder,Peter Knaudt
1641-06-21,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-06-25,Herzogin Sophia Elisabeth von Braunschweig-Wolfenbüttel,die Leserinnen der history der Dorinde aus dem Roman L’Astrée von Honoré d’Urfé
1641-07-06,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1641-07-08,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-07-14,Christian Gueintz,Christian Le Clerq
1641-07-27,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1641-07-31,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1641-08-22,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1641-09-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1641-09-09,die Fruchtbringende Gesellschaft,Georg Philipp Harsdörffer
1641-09-14,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1641-09-14,Justus Georg Schottelius,Georg Calixtus
1641-09-19,Diederich von dem Werder,Fürst Ludwig
1641-10-09,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1641-11-26,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1641-11-28,Gemeinde St. Jakob zu Köthen,Fürst Ludwig
1641-12-01,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1641-12-14,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-01-14,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1642-01-20,Johann von Mario,Fürst Ludwig
1642-01-24,Freiherr Georg Ehrenreich von Rogendorff und Mollenburg,Fürst Christian II. von Anhalt-Bernburg
1642-02-19,Fürst Ludwig,Johann von Mario
1642-03-11,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1642-05-03,Fürst Ludwig,Georg Philipp Harsdörffer
1642-05-06,Diederich von dem Werder,Fürst Ludwig
1642-06-01,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-06-08,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1642-06-27,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-06-30,Johann von Mario,Fürst Ludwig
1642-07-12,Fürst Ludwig,Fürst August von Anhalt-Plötzkau
1642-07-12,Fürst Ludwig,Fürst Johann Casimir von Anhalt-Dessau
1642-07-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1642-07-12,Fürst Ludwig,Fürst Georg Aribert von Anhalt-Dessau
1642-07-12,Fürst Ludwig,Fürst Friedrich von Anhalt-Bernburg-Harzgerode
1642-08-08,Landgraf Hermann IV. von Hessen-Rotenburg,Fürst Ludwig
1642-10-09,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1642-10-11,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1642-10-27,Carl Gustav von Hille,Fürst Ludwig
1642-10-31,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-10-31,Fürst Ludwig,Carl Gustav von Hille
1642-11-01,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1642-11-05,Carl Gustav von Hille,Fürst Ludwig
1642-11-08,Fürst Ludwig,Diederich von dem Werder
1642-11-10,Justus Georg Schottelius,Fürst Ludwig
1642-11-20,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-11-29,Fürst Ludwig,Herzog Christian Ludwig von Braunschweig-Calenberg
1642-11-29,Fürst Ludwig,Friedrich Schenk von Winterstedt bzw. Bodo von Hodenberg
1642-12-01,Franz Julius von dem Knesebeck,Fürst Ludwig
1642-12-02,Fürst Ludwig,Herzog Friedrich III. von Schleswig-Holstein-Gottorf
1642-12-06,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1642-12-07,Fürst Ludwig,Georg Philipp Harsdörffer
1642-12-25,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1642-12-30,Fürst Ludwig,Fürst Johann von Anhalt-Zerbst
1643-01-01,Franz Julius von dem Knesebeck,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-01-03,Justus Georg Schottelius,Johann Michael Moscherosch
1642-01-01,Johann Michael Moscherosch,die Fruchtbringende Gesellschaft
1643-01-06,Matthäus Merian d. Ä.,Peter Knaudt
1643-01-18,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1643-01-21,Carl Gustav von Hille,Fürst Ludwig
1643-01-21,Andreas Kühne,Peter Knaudt
1643-02-04,Fürst Ludwig,Carl Gustav von Hille
1643-02-08,Carl Gustav von Hille,Fürst Ludwig
1643-02-14,Matthäus Merian d. Ä.,Peter Knaudt
1643-02-15,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-03-06,Peter Knaudt,Matthäus Merian d. Ä.
1643-03-07,Justus Georg Schottelius,Fürst Ludwig
1643-03-12,Fürst Ludwig,Carl Gustav von Hille
1643-03-18,Carl Gustav von Hille,Fürst Ludwig
1643-03-28,Fürst Ludwig,Christian Gueintz
1643-03-29,Christian Gueintz,Fürst Ludwig
1643-04-03,Fürst Ludwig,Christian Gueintz
1643-04-07,Fürst Ludwig,Carl Gustav von Hille
1643-04-18,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1643-04-18,Matthäus Merian d. Ä.,Peter Knaudt
1643-04-19,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1643-04-25,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Valentin Andreae
1643-04-30,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-05-05,Fürst Ludwig,Georg Philipp Harsdörffer
1643-05-07,Carl Gustav von Hille,Fürst Ludwig
1643-05-09,Justus Georg Schottelius,Joachim Jungius
1643-05-13,Matthäus Merian d. Ä.,Peter Knaudt
1643-05-15,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-05-26,Georg Philipp Harsdörffer,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-05-27,Andreas Kühne,Peter Knaudt
1643-06-17,Carl Gustav von Hille,Fürst Ludwig
1643-06-24,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1643-07-06,Carl Gustav von Hille,Fürst Ludwig
1643-07-24,Fürst Ludwig,Georg Philipp Harsdörffer
1643-07-24,Fürst Ludwig,Carl Gustav von Hille
1643-08-01,Fürst Ludwig,Diederich von dem Werder
1643-08-01,Carl Gustav von Hille,Fürst Ludwig
1643-08-02,Fürst Ludwig,Georg Philipp Harsdörffer
1643-08-21,Fürst Ludwig,Carl Gustav von Hille
1643-08-26,Joachim Morsius,Joachim Jungius
1643-09-05,Matthäus Merian d. Ä.,Peter Knaudt
1643-09-20,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1643-10-07,Fürst Ludwig,Georg Philipp Harsdörffer
1643-10-14,Fürst Ludwig,Georg Philipp Harsdörffer
1643-10-16,Fürst Ludwig,Christian Gueintz
1643-10-20,Christian Gueintz,Fürst Ludwig
1643-10-21,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1643-10-22,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1643-10-28,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1643-10-28,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-11-23,Friedrich Greiff,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-11-24,Georg Philipp Harsdörffer,Fürst Ludwig
1643-12-01,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1643-12-06,Fürst Ludwig,Georg Philipp Harsdörffer
1643-12-08,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1643-12-09,Carl Gustav von Hille,Fürst Ludwig
1643-12-11,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1643-12-27,Christian Gueintz,Fürst Ludwig
1644-01-01,Diederich von dem Werder,Conrad von Burgsdorff
1644-01-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-01-19,Christian Beckmann,Christophorus Colerus
1644-01-27,Fürst Ludwig,Christian Gueintz
1644-01-29,Christian Gueintz,Fürst Ludwig
1644-01-30,Fürst Ludwig,Carl Gustav von Hille
1644-02-04,Diederich von dem Werder,Fürst Ludwig
1644-02-09,Fürst Ludwig,Christian Gueintz
1644-02-09,Carl Gustav von Hille,Fürst Ludwig
1644-02-19,Christian Gueintz,Fürst Ludwig
1644-03-10,Fürst Ludwig,Carl Gustav von Hille
1644-03-10,Diederich von dem Werder,Fürst Ludwig
1644-03-10,Diederich von dem Werder,Peter Knaudt
1644-03-13,Fürst Ludwig,Christian Gueintz
1644-03-17,Christian Gueintz,Fürst Ludwig
1644-03-23,Carl Gustav von Hille,Fürst Ludwig
1644-03-23,Carl Gustav von Hille,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-03-24,Andreas Tscherning,Matthaeus Apelles von Löwenstern
1644-04-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-04-26,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1644-04-29,Justus Georg Schottelius,Johann Valentin Andreae
1644-05-04,Christian Gueintz,Fürst Ludwig
1644-06-16,Johann Michael Moscherosch,Johann Heinrich Boeckler
1643-12-29,Johann Michael Moscherosch,Johann Heinrich Boeckler
1644-07-15,Georg Philipp Harsdörffer,Fürst Ludwig
1644-07-15,Georg Philipp Harsdörffer,Herzog Christian Ludwig von Braunschweig-Calenberg
1644-07-23,Fürst Ludwig,Herzog Christian Ludwig von Braunschweig-Calenberg
1644-07-23,Fürst Ludwig,Carl Gustav von Hille
1644-07-24,Johann Rist,Philipp von Zesen
1644-07-31,Georg Philipp Harsdörffer,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-08-24,Georg Philipp Harsdörffer,Herzogin Sophia Elisabeth von Braunschweig-Wolfenbüttel
1644-08-09,Christian Gueintz,Fürst Ludwig
1644-08-09,Winand von Polhelm,Fürst Ludwig
1644-08-16,Diederich von dem Werder,Fürst Ludwig
1644-08-24,Georg Philipp Harsdörffer,die Fruchtbringende Gesellschaft
1644-08-26,Abraham von Franckenberg,Gottfried Sturm
1644-09-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-09-27,Fürst August von Anhalt-Plötzkau,Herzog Wilhelm IV. von Sachsen-Weimar
1644-10-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-10-11,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-10-20,Georg Philipp Harsdörffer,Justus Georg Schottelius
1644-12-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1644-12-01,Philipp von Zesen,die Fruchtbringende Gesellschaft
1644-12-05,Landgraf Hermann IV. von Hessen-Rotenburg,Fürst Ludwig
1644-12-16,Johann Rist,Justus Georg Schottelius
1644-12-23,Georg Philipp Harsdörffer,Philipp von Zesen
1644-12-26,Fürst Ludwig,Curt von Einsiedel
1644-12-26,Fürst Ludwig,Christian Gueintz
1644-12-31,Christian Gueintz,Fürst Ludwig
1644-12-31,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-01-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-01-01,Philipp von Zesen,Justus Georg Schottelius
1645-01-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-01-24,Fürst Ludwig,Georg Philipp Harsdörffer
1645-01-26,Carl Gustav von Hille,Fürst Ludwig
1645-01-27,Fürst Ludwig,Peter Knaudt
1645-02-01,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-02-02,Justus Georg Schottelius,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-02-04,Justus Georg Schottelius,Fürst Ludwig
1645-02-17,Herzog Ernst I. von Sachsen-Gotha,Fürst Ludwig
1645-02-19,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-02-20,Fürst Ludwig,Herzog Wilhelm IV. von Sachsen-Weimar
1645-02-21,Fürst Ludwig,Carl Gustav von Hille
1645-02-24,Fürst Ludwig,Herzog Ernst I. von Sachsen-Gotha
1645-03-01,Herzogin Eleonora Dorothea von Sachsen-Weimar,Fürst Ludwig
1645-03-04,Herzogin Eleonora Maria von Mecklenburg-Güstrow,Fürst Christian II. von Anhalt-Bernburg
1645-03-05,Winand von Polhelm,Fürst Ludwig
1645-02-28,Der von Polhelm,Fürst Ludwig
1645-03-08,Carl Gustav von Hille,Fürst Ludwig
1645-03-08,Philipp von Zesen,Jesaias Rompler von Löwenhalt
1645-03-17,Fürst Ludwig,Landgraf Hermann IV. von Hessen-Rotenburg
1645-03-17,Fürst Ludwig,Winand von Polhelm
1645-03-19,Johann Valentin Andreae,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-03-25,Diederich von dem Werder,Fürst Ludwig
1645-03-26,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1645-03-31,Fürst Ludwig,Herzog August d. J. von Braunschweig-Wolfenbüttel
1645-04-01,Georg Philipp Harsdörffer,Fürst Ludwig
1645-04-08,Fürst Johann Casimir von Anhalt-Dessau,Fürst Ludwig
1645-04-10,Georg Philipp Harsdörffer,Philipp von Zesen
1645-04-17,Matthäus Merian d. Ä.,Peter Knaudt
1645-04-19,Johann Hammer,Peter Knaudt
1645-04-20,Diederich von dem Werder,Fürst Ludwig
1645-05-01,Diederich von dem Werder,Fürst Ludwig
